EverGreenCoin EverGreenCoin 	EGC 	$253,627 	$0.019210 	13,202,525 	$565 	-1.77% 	-1.95% 	32.21%
Myriad Myriad 	XMY 	$251,851 	$0.000175 	1,441,794,905 	$632 	-0.04% 	-2.41% 	4.44%
Verge Verge 	XVG 	$251,290 	$0.000020 	12,793,464,160 	$32 	0.19% 	2.95% 	6.81%
Applecoin Applecoin 	APC 	$251,266 	$0.011275 	22,286,048 * 	$508 	0.00% 	1.00% 	-5.82%
Digitalcoin Digitalcoin 	DGC 	$249,151 	$0.007245 	34,389,793 	$463 	-0.33% 	-1.96% 	3.08%
e-Gulden e-Gulden 	EFL 	$247,456 	$0.016439 	15,052,575 	$874 	-0.06% 	-1.41% 	-8.19%
Rise Rise 	RISE 	$240,932 	$0.002276 	105,873,767 * 	$25 	-1.41% 	-2.29% 	2.40%
Cryptonite Cryptonite 	XCN 	$240,005 	$0.001169 	205,328,613 	$5,713 	1.42% 	-0.86% 	-20.32%
NuShares NuShares 	NSR 	$238,087 	$0.000146 	1,630,200,855 * 	$2,071 	-0.27% 	-1.85% 	-0.08%
StabilityShares StabilityShares 	XSI 	$235,995 	$0.025508 	9,251,928 	$880 	-0.09% 	-5.48% 	-7.64%
Triggers Triggers 	TRIG 	$233,848 	$0.007284 	32,105,593 * 	$31 	-0.12% 	0.84% 	12.15%
Orbitcoin Orbitcoin 	ORB 	$232,557 	$0.081757 	2,844,508 	$735 	0.09% 	6.47% 	8.29%
Einsteinium Einsteinium 	EMC2 	$231,352 	$0.001120 	206,487,168 	$15,796 	0.10% 	27.86% 	23.65%
HempCoin HempCoin 	HMP 	$223,381 	$0.000165 	1,355,912,739 	$208 	0.63% 	23.51% 	20.68%
Virtacoin Virtacoin 	VTA 	$222,285 	$0.000018 	12,074,485,136 	$508 	1.71% 	41.58% 	36.38%
ICO OpenLedger ICO OpenLedger 	ICOO 	$217,000 	$0.456059 	475,815 * 	$250 	-1.70% 	-10.86% 	-1.71%
Breakout Breakout 	BRK 	$212,556 	$0.012148 	17,497,330 	$15 	0.27% 	6.16% 	0.65%
Fantomcoin Fantomcoin 	FCN 	$212,481 	$0.040953 	5,188,376 	$70 	-0.20% 	0.32% 	10.31%
SmileyCoin SmileyCoin 	SMLY 	$212,246 	$0.000008 	25,609,329,722 	$319 	0.23% 	103.73% 	40.80%
UnionCoin UnionCoin 	UNC 	$209,456 	$0.024969 	8,388,608 	$149 	0.48% 	4.92% 	-2.06%
HunterCoin HunterCoin 	HUC 	$200,437 	$0.012997 	15,422,343 	$864 	0.32% 	5.75% 	-14.51%
Horizon Horizon 	HZ 	$195,070 	$0.000196 	997,285,886 * 	$120 	0.49% 	1.12% 	2.57%
AmberCoin AmberCoin 	AMBER 	$192,956 	$0.004428 	43,577,654 	$42 	0.56% 	-6.95% 	-17.63%
NeosCoin NeosCoin 	NEOS 	$185,163 	$0.059095 	3,133,288 	$342 	0.41% 	0.33% 	-5.20%
Sequence Sequence 	SEQ 	$184,063 	$0.004157 	44,277,802 	$1,454 	3.81% 	-28.30% 	-32.16%
Wild Beast Block Wild Beast Block 	WBB 	$182,548 	$0.086919 	2,100,209 	$147 	0.28% 	-1.34% 	-8.94%
bitCNY bitCNY 	BITCNY 	$181,708 	$0.136063 	1,335,472 * 	$3,548 	0.03% 	-1.83% 	-1.39%
MazaCoin MazaCoin 	MZC 	$179,832 	$0.000165 	1,092,618,137 	$115 	0.08% 	1.42% 	11.97%
Artex Coin Artex Coin 	ATX 	$179,118 	$0.009747 	18,376,720 	$105 	1.34% 	8.82% 	17.46%
TagCoin TagCoin 	TAG 	$177,841 	$0.035239 	5,046,744 	$290 	-0.34% 	-2.11% 	-1.63%
SecureCoin SecureCoin 	SRC 	$177,255 	$0.025014 	7,086,195 	$729 	0.10% 	3.32% 	9.77%
Jewels Jewels 	JWL 	$175,060 	$0.008719 	20,077,615 * 	$66 	0.07% 	3.09% 	23.98%
PinkCoin PinkCoin 	PINK 	$173,870 	$0.000477 	364,777,382 	$794 	0.42% 	-1.31% 	9.99%
2GIVE 2GIVE 	2GIVE 	$173,859 	$0.000344 	506,130,446 	$32 	1.05% 	-5.37% 	-9.40%
PostCoin PostCoin 	POST 	$172,772 	$0.011146 	15,500,425 * 	$1,340 	0.20% 	-0.12% 	11.30%
Diem Diem 	DIEM 	$168,034 	$0.000008 	21,739,971,929 	$142 	-1.47% 	11.21% 	12.94%
Synergy Synergy 	SNRG 	$167,050 	$0.069784 	2,393,827 * 	$426 	0.03% 	-3.00% 	0.52%
Bitswift Bitswift 	SWIFT 	$164,112 	$0.040464 	4,055,760 * 	$307 	0.08% 	4.82% 	-4.08%
CannabisCoin CannabisCoin 	CANN 	$158,724 	$0.002055 	77,231,080 	$131 	0.11% 	-1.45% 	-7.29%
XCurrency XCurrency 	XC 	$157,545 	$0.027422 	5,745,233 * 	$1,176 	-0.50% 	7.48% 	21.20%
ZClassic ZClassic 	ZCL 	$154,006 	$0.383003 	402,102 	$1,805 	-0.17% 	-0.72% 	-11.24%
NobleCoin NobleCoin 	NOBL 	$153,405 	$0.000067 	2,284,810,974 	$160 	1.11% 	0.77% 	5.09%
Capricoin Capricoin 	CPC 	$151,715 	$0.174069 	871,579 * 	$316 	0.13% 	3.14% 	5.18%
MMNXT MMNXT 	MMNXT 	$148,274 	$0.014827 	10,000,000 * 	$138 	-0.63% 	-3.34% 	-10.56%
Woodcoin Woodcoin 	LOG 	$146,181 	$0.018193 	8,035,193 	$20 	-0.42% 	-0.47% 	-7.35%
ECC ECC 	ECC 	$143,976 	$0.000007 	21,018,738,997 	$77 	0.14% 	227.89% 	191.57%
Creditbit Creditbit 	CRB 	$139,881 	$0.011217 	12,470,149 * 	$68 	1.04% 	-0.86% 	53.91%
AudioCoin AudioCoin 	ADC 	$139,513 	$0.000176 	792,620,101 	$17 	1.47% 	28.56% 	-1.51%
Bitcoin Plus Bitcoin Plus 	XBC 	$138,546 	$1.52 	91,353 * 	$363 	0.71% 	1.15% 	15.02%
Pepe Cash Pepe Cash 	PEPECASH 	$137,928 	$0.000197 	701,884,009 * 	$55 	0.12% 	-27.25% 	34.42%
Colossuscoin V2 Colossuscoin V2 	CV2 	$132,582 	$0.000006 	21,630,203,520 * 	$10 	-0.43% 	-31.30% 	-64.71%
MaxCoin MaxCoin 	MAX 	$129,765 	$0.002384 	54,442,678 	$84 	-2.32% 	-22.38% 	1.54%
Dimecoin Dimecoin 	DIME 	$128,123 	$2.49e-7 	514,744,970,888 	$43 	0.83% 	0.64% 	25.99%
MediterraneanCoin Mediterranean... 	MED 	$127,934 	$0.003164 	40,431,897 	$1,010 	1.39% 	17.35% 	15.00%
SpreadCoin SpreadCoin 	SPR 	$124,700 	$0.017390 	7,170,829 	$430 	0.34% 	6.08% 	-2.95%
Bitstar Bitstar 	BITS 	$124,170 	$0.006597 	18,820,916 	$129 	0.29% 	3.47% 	16.83%
Swing Swing 	SWING 	$121,218 	$0.066716 	1,816,930 	$417 	-0.62% 	-8.63% 	-51.61%
Crown Crown 	CRW 	$114,827 	$0.009634 	11,918,383 	$256 	0.46% 	12.10% 	-27.09%
Blitzcash Blitzcash 	BLITZ 	$107,725 	$0.026686 	4,036,818 * 	$759 	-2.85% 	31.39% 	47.30%
Ixcoin Ixcoin 	IXC 	$106,757 	$0.005084 	20,999,088 * 	$134 	-0.50% 	-36.68% 	7.47%
Stealthcoin Stealthcoin 	XST 	$106,734 	$0.004246 	25,139,400 	$1,134 	-0.78% 	-5.31% 	9.23%
bitUSD bitUSD 	BITUSD 	$105,606 	$0.977335 	108,055 * 	$181 	0.12% 	1.24% 	-2.93%
Crypto Bullion Crypto Bullion 	CBX 	$104,525 	$0.105818 	987,783 	$40 	0.15% 	31.58% 	91.36%
Tickets Tickets 	TIX 	$103,610 	$0.000002 	66,876,281,414 	$82 	-1.29% 	1.89% 	1.86%
Magi Magi 	XMG 	$102,415 	$0.016189 	6,326,109 	$791 	0.23% 	-5.54% 	-3.00%
Bytecent Bytecent 	BYC 	$101,552 	$0.072668 	1,397,482 	$280 	-1.09% 	7.45% 	-10.87%
BillaryCoin BillaryCoin 	BLRY 	$99,725 	$0.011118 	8,970,005 	$141 	0.01% 	19.98% 	13.50%
WhiteCoin WhiteCoin 	XWC 	$98,983 	$0.000323 	306,584,146 * 	$688 	-0.65% 	35.21% 	18.24%
Stress Stress 	STS 	$98,568 	$0.000174 	565,134,332 	$407 	0.07% 	-14.08% 	-38.28%
Shift Shift 	SHIFT 	$98,414 	$0.009495 	10,364,397 * 	$149 	0.12% 	7.28% 	-0.52%
Coin2.1 Coin2.1 	C2 	$98,283 	$0.000983 	99,976,323 * 	$536 	1.01% 	7.42% 	-0.40%
Canada eCoin Canada eCoin 	CDN 	$97,689 	$0.001003 	97,371,257 	$101 	0.85% 	28.88% 	45.38%
